Account_ID,Customer_ID,Account_Type,Branch_Code,Balance_PHP,Credit_Score,Interest_Rate,Loan_Amount_PHP,Loan_Type,Loan_Status,Transaction_ID,Transaction_Type,Transaction_Amount_PHP,Transaction_Date,Merchant_ID,Merchant_Category,Card_Type,Credit_Limit_PHP,Overdue_Amount_PHP,Monthly_Income_PHP
508237,9734,Savings,DVO,50131.87,752,8.01,294033.23,Personal,Rejected,3227498,Debit,18182.1,2/3/2023,749823,Utilities,Credit,77985.92,21217.2,21669.85
576734,9206,Current,ILO,60155.43,582,3.66,436731.61,Personal,Pending,9461572,Debit,49774.39,11/25/2022,304764,Healthcare,Debit,5542.09,15879.07,99050.73
661254,8503,Time Deposit,DVO,11107.72,670,2.24,337609.71,Personal,Approved,4030401,Debit,3255.28,1/21/2023,105503,Healthcare,Debit,21654.87,8840.4,84942.34
621063,8574,Savings,MNL,60585.13,728,4.29,85481.19,Auto,Closed,1406332,Debit,43257.54,9/19/2022,817664,Groceries,Debit,16579.63,25621.36,50733.41
137784,5911,Time Deposit,ILO,45272.9,610,4.85,259774.15,Home,Approved,6234801,Credit,41338.63,9/11/2023,538520,Healthcare,Debit,13754.05,28255.57,31472.33
399456,7486,Current,MNL,91805.55,514,3.21,64076.54,Auto,Closed,7024787,Debit,15159.76,3/19/2022,107929,Groceries,Credit,38702.42,28720.96,81830.57
481501,6495,Savings,ILO,96423.41,425,4.59,473900.84,Personal,Rejected,6964540,Debit,4042.43,3/13/2023,659653,Utilities,Debit,79325.57,24602.66,90106.14
395835,8122,Current,MNL,86731.37,628,9.06,191157.32,Business,Pending,6650836,Debit,25858.97,1/22/2022,975261,Shopping,Debit,77228.92,5603.16,60998.9
965697,4064,Savings,CEB,77577.94,764,4.16,437158.78,Personal,Approved,9361432,Debit,48078.08,2/5/2022,193376,Healthcare,Credit,69136.11,9865.32,94135.25
204632,1503,Time Deposit,CEB,59618.37,797,1.72,87290.45,Home,Closed,8265714,Debit,47822.9,9/22/2022,857586,Groceries,Debit,78019.05,10245.11,62256.38
399728,4287,Current,MNL,27942.01,641,7.36,80338.85,Auto,Rejected,3878780,Debit,24812.86,1/23/2022,464689,Groceries,Credit,35869.03,18294.96,83919.74
435270,4807,Time Deposit,DVO,5918.35,554,2.01,307568.54,Personal,Approved,5915186,Credit,45697.72,4/27/2022,505871,Travel,Credit,51151.64,13219.78,61275.25
369583,3677,Time Deposit,CEB,6170.46,515,8.8,64275.7,Home,Approved,2972735,Debit,39584.07,1/12/2023,199537,Utilities,Debit,17134.22,1809.27,20567.07
869176,7999,Savings,MNL,32861.19,312,1.38,434301.79,Auto,Rejected,3710073,Debit,26600.74,11/3/2023,252499,Groceries,Debit,95713.12,1629.92,72592.58
768713,1419,Current,CEB,61422.77,314,5.52,165417.97,Auto,Rejected,4674231,Credit,29548.82,12/26/2022,408221,Healthcare,Debit,83739.8,21342.35,19921.43
157543,7353,Savings,ILO,57256.82,466,5.57,277535.38,Personal,Pending,3095795,Debit,31385.15,1/8/2022,433900,Shopping,Credit,82534.48,25700.13,64997.38
143561,4746,Time Deposit,CEB,43953.38,531,5.18,399772.45,Home,Pending,2620356,Credit,24788.21,2/11/2023,432908,Utilities,Credit,43435.46,25064.85,43919.45
836131,8781,Savings,GEN,95677.64,763,9.34,104260.7,Business,Pending,7836435,Credit,43172.84,6/12/2023,662236,Healthcare,Debit,56462.68,28753.64,50648.43
412773,5682,Time Deposit,DVO,39429.93,530,5.03,132990.56,Auto,Approved,6344630,Credit,20672.24,2/25/2023,235325,Travel,Credit,80453.6,13827.92,67319.64
804453,5238,Savings,DVO,44186.31,662,1.16,494510.28,Auto,Rejected,3204417,Debit,12904.36,7/7/2022,859780,Utilities,Credit,29760.85,1630.35,54158.69
315978,2855,Time Deposit,GEN,6948.07,774,7.38,117762.79,Business,Rejected,5804452,Credit,3734.86,1/2/2022,579384,Groceries,Credit,94119.92,27469.58,64555.05
485409,6987,Current,MNL,11394.95,325,5.6,99396.16,Home,Approved,6958895,Debit,29928.58,11/23/2023,180099,Shopping,Credit,67148.52,22584.22,38055.17
822416,2550,Current,CEB,18694.97,810,8.03,272672.99,Business,Approved,6712525,Debit,25201.63,1/11/2022,861148,Healthcare,Debit,59750.38,15190.89,18392.06
589051,6218,Time Deposit,DVO,30044.57,525,8.5,393008.75,Personal,Approved,5531371,Credit,26968.36,9/22/2022,460700,Travel,Debit,88220.16,19826.52,59807.54
727932,7057,Savings,MNL,53029.08,651,1.31,408677.77,Personal,Closed,2822224,Credit,38339.86,1/26/2022,586147,Shopping,Debit,70727.82,29950.6,66175.18
301633,9140,Current,CEB,34008.49,785,3.97,320643,Home,Closed,3118690,Debit,779.74,7/1/2023,808447,Healthcare,Credit,78840.12,11908.9,18157.82
315687,3941,Time Deposit,DVO,39767.65,408,5.17,97357.21,Auto,Closed,4189743,Debit,33263.99,2/4/2022,378039,Travel,Debit,79590.85,879.71,69199.75
908188,2440,Savings,MNL,44089.35,827,1.09,260941.96,Business,Rejected,6619418,Debit,513.57,6/7/2022,810091,Shopping,Credit,91024.81,9740.35,77373.64
543702,9214,Current,ILO,26203.4,813,4.39,391022.35,Auto,Pending,4261108,Credit,22122.29,12/22/2023,610349,Healthcare,Debit,10810.34,23530.72,86772.67
925582,9011,Time Deposit,CEB,89335.74,377,2.52,266504.38,Business,Closed,5666367,Debit,48392.41,11/24/2023,154283,Groceries,Credit,79767.15,16000.06,53943.84
698988,6630,Current,DVO,98876.18,517,2.94,426709.62,Auto,Rejected,5714811,Debit,12902.71,2/19/2023,183309,Utilities,Credit,10172.37,14829.67,10582.57
750991,3993,Savings,GEN,18023.96,354,6.47,380902.06,Home,Closed,5604789,Credit,43081.94,9/28/2023,243702,Travel,Debit,45284.62,114.7,49150.5
444793,4091,Time Deposit,GEN,42180.04,528,7.2,191396,Personal,Closed,9661882,Credit,26155.83,12/20/2023,908961,Shopping,Debit,44990.76,11106.79,94361.03
380179,3000,Current,CEB,74878.47,801,8.97,433006.43,Personal,Approved,4253031,Credit,13788.77,10/3/2023,143810,Healthcare,Debit,13717.97,17848.98,39300.16
392647,2231,Time Deposit,MNL,14593.4,312,2.84,491728.5,Personal,Closed,7047496,Debit,35162.96,5/1/2022,402794,Groceries,Debit,75259.65,9443.37,75894.05
890096,3591,Savings,MNL,79544.52,675,7.27,110028.99,Auto,Closed,7713481,Credit,45281.5,12/22/2022,878285,Travel,Credit,65703.74,544.77,54830.88
270286,9998,Savings,DVO,59996.98,834,6.68,125766.79,Business,Closed,5528040,Debit,28935.96,11/19/2022,776166,Utilities,Debit,83738.48,19759.91,20778.49
606805,6389,Savings,ILO,21337.86,835,3.03,178549.43,Personal,Pending,8437068,Credit,13059.64,1/6/2023,542480,Shopping,Debit,52664.68,19353.31,80401.56
545753,4922,Time Deposit,DVO,38818.97,643,4.54,286365.59,Business,Approved,2526326,Debit,6362.3,8/6/2022,499272,Healthcare,Credit,61516.13,5397.79,58315
910266,1010,Time Deposit,ILO,99756.17,842,3.12,417495.11,Personal,Closed,3510615,Credit,25835.91,4/30/2023,408578,Travel,Credit,47784.31,13793.57,64658.19
658622,8777,Time Deposit,DVO,68570.66,415,9.28,44727.75,Auto,Rejected,9315705,Credit,47487.36,2/25/2023,494021,Utilities,Debit,8616.14,21341.43,86122.39
170498,1834,Current,GEN,52513.57,647,3.02,264847.91,Personal,Pending,1378849,Credit,26212.11,9/22/2023,710713,Utilities,Credit,21942.81,4531.27,24492.81
